race_id,driver_id,team_id,fastest_lap_time,lap_number
1,79,3,1:25.945,54
1,6,1,1:26.373,57
1,57,2,1:26.444,50
1,60,1,1:26.469,53
1,94,3,1:26.880,54
1,100,4,1:26.958,57
1,12,4,1:26.978,57
1,83,2,1:27.019,54
1,70,5,1:27.081,57
1,101,6,1:27.600,57
1,75,6,1:27.633,51
1,93,5,1:27.944,51
1,105,9,1:28.176,57
1,103,8,1:28.511,55
1,106,7,1:28.759,56
1,67,10,1:28.805,23
1,87,10,1:29.534,21
1,104,9,1:30.649,13
1,89,7,1:32.210,4
1,107,8,1:32.573,3
2,83,2,1:33.740,22
2,57,2,1:33.953,51
2,67,10,1:34.053,47
2,12,4,1:34.168,47
2,87,10,1:34.327,29
2,6,1,1:34.337,22
2,60,1,1:34.453,21
2,107,8,1:34.563,42
2,70,5,1:34.667,50
2,105,9,1:34.689,44
2,104,9,1:34.863,46
2,101,6,1:35.043,38
2,106,7,1:35.058,40
2,75,6,1:35.075,35
2,89,7,1:35.093,26
2,100,4,1:35.131,30
2,103,8,1:35.266,32
2,93,5,1:35.535,35
3,79,3,1:35.785,55
3,94,3,1:36.206,50
3,6,1,1:36.456,48
3,57,2,1:36.878,20
3,70,5,1:36.881,56
3,83,2,1:36.987,50
3,12,4,1:37.234,56
3,67,10,1:37.410,51
3,60,1,1:37.479,24
3,75,6,1:37.673,54
3,93,5,1:37.754,54
3,101,6,1:37.985,47
3,100,4,1:38.137,54
3,87,10,1:38.152,54
3,104,9,1:38.367,54
3,89,7,1:38.386,52
3,103,8,1:38.500,54
3,107,8,1:38.624,47
3,106,7,1:38.808,23
3,105,9,1:39.376,50
4,83,2,1:45.149,37
4,57,2,1:45.412,35
4,79,3,1:45.419,34
4,60,1,1:45.530,38
4,94,3,1:45.771,31
4,75,6,1:46.206,51
4,6,1,1:46.523,50
4,103,8,1:46.815,50
4,93,5,1:46.856,50
4,67,10,1:46.880,34
4,106,7,1:47.403,31
4,12,4,1:47.449,32
4,100,4,1:47.666,50
4,89,7,1:47.925,51
4,104,9,1:48.035,38
4,87,10,1:48.155,35
4,105,9,1:48.288,51
4,70,5,1:48.867,10
5,79,3,1:18.441,61
5,60,1,1:19.128,61
5,57,2,1:19.133,64
5,94,3,1:19.422,62
5,83,2,1:19.478,56
5,87,10,1:20.246,64
5,12,4,1:20.727,64
5,75,6,1:21.128,43
5,93,5,1:21.324,61
5,105,9,1:21.439,63
5,6,1,1:21.531,23
5,103,8,1:22.095,60
5,101,6,1:22.117,36
5,106,7,1:22.122,51
5,89,7,1:22.487,50
5,100,4,1:22.594,38
5,107,8,1:22.680,57
6,94,3,1:14.260,60
6,67,10,1:14.822,74
6,103,8,1:14.944,61
6,107,8,1:15.325,75
6,79,3,1:15.562,13
6,70,5,1:16.061,57
6,60,1,1:16.065,14
6,57,2,1:16.270,15
6,83,2,1:16.312,21
6,6,1,1:16.392,13
6,100,4,1:16.864,76
6,89,7,1:16.936,19
6,12,4,1:17.018,23
6,101,6,1:17.027,63
6,104,9,1:17.099,68
6,105,9,1:17.172,15
6,87,10,1:17.476,20
6,93,5,1:17.491,19
6,75,6,1:17.546,24
6,106,7,1:17.710,17
7,94,3,1:13.864,65
7,60,1,1:13.964,57
7,83,2,1:13.992,51
7,6,1,1:14.075,59
7,79,3,1:14.159,59
7,57,2,1:14.183,66
7,75,6,1:15.100,64
7,87,10,1:15.401,65
7,67,10,1:15.470,56
7,106,7,1:15.480,65
7,70,5,1:15.588,64
7,101,6,1:15.610,61
7,93,5,1:15.666,61
7,104,9,1:15.699,67
7,100,4,1:15.765,55
7,107,8,1:15.924,53
7,12,4,1:16.180,33
7,89,7,1:16.403,62
8,83,2,1:34.225,41
8,94,3,1:34.275,47
8,6,1,1:34.398,48
8,60,1,1:34.485,42
8,57,2,1:34.509,49
8,12,4,1:35.133,48
8,79,3,1:35.382,37
8,87,10,1:35.425,50
8,93,5,1:35.638,46
8,67,10,1:35.695,47
8,70,5,1:35.873,46
8,106,7,1:35.977,45
8,89,7,1:36.494,37
8,100,4,1:36.675,48
8,105,9,1:36.839,40
8,107,8,1:38.300,35
8,75,6,1:38.319,25
8,103,8,1:38.319,35
9,6,1,1:06.957,71
9,60,1,1:07.082,67
9,57,2,1:07.241,58
9,94,3,1:07.442,70
9,79,3,1:07.591,46
9,89,7,1:08.216,67
9,87,10,1:08.476,70
9,75,6,1:08.504,66
9,12,4,1:08.661,69
9,93,5,1:08.766,37
9,101,6,1:08.850,64
9,100,4,1:08.894,63
9,107,8,1:08.971,64
9,106,7,1:09.006,68
9,83,2,1:09.044,12
9,67,10,1:09.071,17
9,105,9,1:09.171,42
9,103,8,1:09.203,68
9,104,9,1:09.295,38
9,70,5,1:10.380,7
10,60,1,1:30.696,47
10,6,1,1:30.795,51
10,57,2,1:31.245,52
10,83,2,1:31.377,43
10,79,3,1:31.589,46
10,94,3,1:32.007,42
10,70,5,1:33.405,48
10,104,9,1:33.465,48
10,75,6,1:33.472,48
10,12,4,1:33.482,52
10,100,4,1:33.551,48
10,87,10,1:33.604,48
10,101,6,1:33.606,48
10,89,7,1:33.675,26
10,103,8,1:33.869,48
10,67,10,1:34.391,28
10,93,5,1:34.602,25
10,107,8,1:34.620,52
10,106,7,1:35.209,3
11,57,2,1:15.545,66
11,83,2,1:15.721,65
11,94,3,1:15.852,66
11,6,1,1:15.990,64
11,67,10,1:16.716,66
11,60,1,1:17.290,39
11,93,5,1:17.430,63
11,100,4,1:17.537,67
11,105,9,1:17.681,66
11,87,10,1:17.697,66
11,12,4,1:17.741,60
11,89,7,1:17.745,65
11,104,9,1:17.762,66
11,106,7,1:17.852,64
11,75,6,1:17.867,66
11,70,5,1:17.910,66
11,101,6,1:17.941,64
11,79,3,1:18.262,22
11,103,8,1:18.861,35
11,107,8,1:18.934,36
12,79,3,1:20.012,46
12,60,1,1:20.056,70
12,6,1,1:20.292,55
12,57,2,1:21.107,63
12,70,5,1:21.261,69
12,87,10,1:21.302,60
12,104,9,1:21.685,64
12,83,2,1:21.736,39
12,12,4,1:22.090,68
12,67,10,1:22.606,58
12,105,9,1:22.612,62
12,103,8,1:22.660,51
12,93,5,1:22.774,58
12,101,6,1:22.876,63
12,100,4,1:23.077,46
12,75,6,1:23.263,56
12,89,7,1:23.671,53
12,107,8,1:23.708,53
12,94,3,1:23.985,5
13,83,2,1:46.286,32
13,60,1,1:46.644,25
13,57,2,1:46.721,23
13,94,3,1:46.946,36
13,87,10,1:47.937,36
13,101,6,1:48.078,35
13,75,6,1:48.080,38
13,67,10,1:48.283,35
13,104,9,1:48.588,36
13,93,5,1:48.670,32
13,89,7,1:48.694,35
13,105,9,1:48.756,33
13,100,4,1:48.956,38
13,107,8,1:49.113,42
13,79,3,1:49.242,27
13,103,8,1:49.287,39
13,6,1,1:54.320,6
14,57,2,1:22.497,30
14,60,1,1:22.505,51
14,83,2,1:22.907,39
14,6,1,1:23.515,28
14,75,6,1:23.529,43
14,94,3,1:23.609,41
14,89,7,1:23.768,44
14,107,8,1:23.768,52
14,93,5,1:24.056,52
14,70,5,1:24.059,47
14,101,6,1:24.179,44
14,67,10,1:24.243,48
14,106,7,1:24.504,52
14,103,8,1:24.580,39
14,104,9,1:24.767,46
14,100,4,1:24.772,47
14,79,3,1:25.229,18
14,87,10,1:25.692,46
14,12,4,1:27.009,6
15,87,10,1:41.905,50
15,57,2,1:42.913,56
15,79,3,1:43.120,59
15,12,4,1:43.164,57
15,94,3,1:43.345,54
15,60,1,1:44.669,48
15,6,1,1:44.715,46
15,83,2,1:44.720,42
15,105,9,1:44.889,38
15,89,7,1:45.169,50
15,106,7,1:45.203,57
15,93,5,1:45.211,50
15,75,6,1:45.389,48
15,100,4,1:45.555,50
15,107,8,1:45.902,48
15,67,10,1:45.904,57
15,103,8,1:46.033,53
15,104,9,1:46.063,56
15,70,5,1:46.093,53
16,83,2,1:35.861,50
16,57,2,1:35.916,50
16,60,1,1:35.990,50
16,94,3,1:36.283,45
16,79,3,1:36.345,41
16,6,1,1:36.611,47
16,89,7,1:37.931,39
16,87,10,1:38.015,52
16,106,7,1:38.107,52
16,67,10,1:38.244,46
16,75,6,1:38.300,47
16,101,6,1:38.366,52
16,70,5,1:39.108,52
16,103,8,1:39.435,44
16,12,4,1:39.590,44
16,93,5,1:39.731,35
16,107,8,1:39.838,43
16,100,4,1:39.922,41
16,104,9,1:44.071,3
16,105,9,1:45.852,2
17,60,1,1:32.318,53
17,57,2,1:32.785,51
17,83,2,1:33.110,46
17,79,3,1:33.187,50
17,103,8,1:33.354,41
17,94,3,1:33.367,50
17,12,4,1:33.943,28
17,107,8,1:33.985,41
17,75,6,1:34.073,43
17,104,9,1:34.133,35
17,93,5,1:34.197,50
17,6,1,1:34.223,28
17,106,7,1:34.515,37
17,101,6,1:34.670,50
17,67,10,1:34.786,47
17,105,9,1:34.857,30
17,70,5,1:34.934,32
17,100,4,1:35.023,25
17,89,7,1:36.294,8
17,87,10,1:39.908,6
18,57,2,1:37.392,40
18,94,3,1:38.246,45
18,60,1,1:38.280,41
18,83,2,1:38.470,46
18,6,1,1:38.482,45
18,87,10,1:38.963,32
18,100,4,1:39.240,42
18,70,5,1:39.548,51
18,75,6,1:39.569,36
18,104,9,1:39.646,38
18,93,5,1:39.858,45
18,105,9,1:39.915,52
18,101,6,1:39.992,45
18,89,7,1:40.098,33
18,103,8,1:40.433,49
18,107,8,1:40.522,12
18,79,3,1:40.933,5
18,106,7,1:41.982,12
19,83,2,1:18.741,65
19,94,3,1:19.186,66
19,79,3,1:19.462,57
19,60,1,1:19.522,49
19,6,1,1:20.334,19
19,106,7,1:20.537,67
19,70,5,1:20.637,67
19,57,2,1:20.728,49
19,67,10,1:21.370,46
19,87,10,1:21.874,45
19,100,4,1:21.921,14
19,93,5,1:22.386,6
19,105,9,1:22.438,26
19,89,7,1:22.440,18
19,101,6,1:22.629,6
19,107,8,1:22.640,66
19,104,9,1:22.755,69
19,103,8,1:22.983,27
19,75,6,1:23.545,6
19,12,4,1:24.197,3
20,83,2,1:10.540,65
20,60,1,1:10.831,71
20,79,3,1:11.343,62
20,94,3,1:11.578,61
20,103,8,1:11.751,68
20,6,1,1:11.769,64
20,57,2,1:11.795,70
20,106,7,1:12.082,70
20,93,5,1:12.169,50
20,87,10,1:12.206,67
20,101,6,1:12.352,70
20,67,10,1:12.362,71
20,75,6,1:12.472,58
20,12,4,1:12.643,57
20,105,9,1:12.949,53
20,100,4,1:12.968,68
20,104,9,1:13.822,55
20,70,5,1:14.029,30
20,107,8,1:14.262,52
20,89,7,1:15.281,3
21,60,1,1:40.867,54
21,83,2,1:40.953,42
21,79,3,1:41.249,35
21,93,5,1:41.351,54
21,57,2,1:41.357,53
21,94,3,1:41.909,51
21,12,4,1:42.393,53
21,75,6,1:42.816,53
21,87,10,1:42.822,53
21,106,7,1:42.876,54
21,67,10,1:43.195,54
21,100,4,1:43.249,53
21,101,6,1:43.591,41
21,107,8,1:43.831,54
21,104,9,1:43.988,42
21,103,8,1:44.033,53
21,105,9,1:44.174,53
21,6,1,1:45.198,5
21,89,7,1:46.077,22
22,83,2,1:25.580,57
22,57,2,1:26.057,57
22,94,3,1:26.256,57
22,106,1,1:26.926,58
22,104,3,1:27.229,39
22,88,9,1:27.448,39
22,103,12,1:27.568,29
22,60,1,1:27.954,16
22,87,10,1:28.182,56
22,109,9,1:28.188,43
22,6,11,1:28.270,52
22,70,5,1:28.444,52
22,67,10,1:28.462,17
22,102,11,1:28.479,29
22,75,12,1:28.485,41
22,108,4,1:28.555,17
22,110,8,1:28.713,55
22,56,8,1:29.284,30
22,79,5,1:29.848,18
22,93,4,1:30.899,9
23,106,1,1:33.411,38
23,57,2,1:33.528,36
23,83,2,1:34.209,42
23,60,1,1:34.895,43
23,88,9,1:34.934,40
23,70,5,1:35.215,14
23,102,11,1:35.237,42
23,104,3,1:35.291,42
23,94,3,1:35.311,47
23,93,4,1:35.586,42
23,6,11,1:35.589,45
23,108,4,1:35.777,14
23,87,10,1:35.892,41
23,75,12,1:36.330,51
23,79,5,1:36.697,42
23,109,9,1:36.752,39
23,103,12,1:37.037,31
23,67,10,1:37.262,3
23,110,8,1:37.313,14
23,56,8,1:37.903,13
24,104,3,1:34.742,55
24,60,1,1:34.836,37
24,106,1,1:34.860,45
24,83,2,1:34.872,38
24,57,2,1:35.892,47
24,94,3,1:36.143,45
24,103,12,1:36.678,46
24,67,10,1:36.873,37
24,110,8,1:37.283,51
24,87,10,1:37.471,35
24,93,4,1:37.502,44
24,6,11,1:37.812,27
24,88,9,1:37.975,27
24,102,11,1:38.048,32
24,108,4,1:38.346,37
24,79,5,1:38.632,38
24,75,12,1:38.702,37
24,109,9,1:38.901,22
24,70,5,1:39.677,14
24,56,8,1:39.772,28
25,106,1,1:43.009,50
25,83,2,1:44.024,50
25,57,2,1:44.166,48
25,60,1,1:44.629,46
25,94,3,1:44.794,39
25,108,4,1:45.394,43
25,75,12,1:45.524,49
25,104,3,1:45.712,34
25,109,9,1:45.754,49
25,93,4,1:45.807,43
25,102,11,1:45.969,45
25,103,12,1:46.009,38
25,6,11,1:46.479,48
25,87,10,1:46.682,42
25,79,5,1:46.767,29
25,110,8,1:47.251,42
25,70,5,1:47.407,43
25,88,9,1:47.681,28
25,56,8,1:47.709,45
25,67,10,1:48.517,33
26,57,2,1:18.492,54
26,83,2,1:18.737,55
26,94,3,1:19.769,57
26,60,1,1:19.820,64
26,106,1,1:20.002,57
26,104,3,1:20.536,57
26,79,5,1:20.615,56
26,88,9,1:20.726,64
26,87,10,1:20.770,66
26,93,4,1:20.859,59
26,109,9,1:21.028,65
26,67,10,1:21.057,64
26,70,5,1:21.282,65
26,6,11,1:21.382,66
26,102,11,1:21.833,64
26,75,12,1:21.859,65
26,110,8,1:22.382,64
26,108,4,1:22.561,28
26,56,8,1:23.202,65
26,103,12,1:23.226,28
27,104,3,1:14.279,72
27,83,2,1:15.163,65
27,109,9,1:15.607,43
27,79,5,1:15.697,78
27,93,4,1:15.891,32
27,57,2,1:16.167,9
27,94,3,1:16.229,9
27,70,5,1:16.276,65
27,60,1,1:16.277,9
27,88,9,1:16.288,31
27,102,11,1:16.299,46
27,103,12,1:16.379,45
27,108,4,1:16.413,61
27,6,11,1:16.436,50
27,75,12,1:16.613,67
27,67,10,1:16.746,41
27,87,10,1:16.992,61
27,110,8,1:17.038,76
27,56,8,1:17.388,32
27,106,1,1:19.151,6
28,83,2,1:13.078,69
28,106,1,1:14.356,63
28,94,3,1:14.767,67
28,57,2,1:14.813,62
28,60,1,1:14.875,57
28,6,11,1:15.442,60
28,70,5,1:15.995,57
28,103,12,1:16.043,47
28,79,5,1:16.075,55
28,104,3,1:16.157,51
28,88,9,1:16.198,44
28,67,10,1:16.245,60
28,75,12,1:16.314,61
28,102,11,1:16.365,69
28,93,4,1:16.471,37
28,109,9,1:17.151,47
28,110,8,1:17.241,58
28,56,8,1:17.285,64
28,87,10,1:17.309,41
28,108,4,1:18.023,4
29,60,1,1:32.740,53
29,57,2,1:32.764,53
29,83,2,1:33.586,43
29,106,1,1:33.828,40
29,94,3,1:34.162,38
29,93,4,1:34.561,52
29,70,5,1:34.754,45
29,79,5,1:34.873,47
29,103,12,1:34.924,44
29,6,11,1:34.950,46
29,75,12,1:35.014,42
29,109,9,1:35.029,51
29,102,11,1:35.115,50
29,104,3,1:35.150,42
29,108,4,1:35.197,47
29,88,9,1:35.225,43
29,67,10,1:35.691,42
29,87,10,1:35.692,50
29,110,8,1:35.830,51
29,56,8,1:36.608,50
30,94,3,1:07.475,60
30,60,1,1:07.676,62
30,106,1,1:07.994,58
30,79,5,1:08.019,65
30,57,2,1:08.050,69
30,93,4,1:08.117,53
30,83,2,1:08.565,53
30,108,4,1:08.699,69
30,104,3,1:08.790,63
30,87,10,1:08.903,69
30,109,9,1:08.946,59
30,67,10,1:08.987,56
30,102,11,1:09.051,57
30,75,12,1:09.061,67
30,6,11,1:09.126,57
30,70,5,1:09.248,59
30,103,12,1:09.288,57
30,88,9,1:09.498,58
30,110,8,1:09.926,52
30,56,8,1:10.964,55
31,57,2,1:27.369,52
31,83,2,1:27.406,47
31,60,1,1:28.733,46
31,94,3,1:29.272,45
31,106,1,1:29.313,47
31,103,12,1:29.390,49
31,75,12,1:29.456,50
31,104,3,1:29.544,48
31,79,5,1:29.624,50
31,108,4,1:29.636,50
31,93,4,1:29.757,50
31,88,9,1:29.910,51
31,70,5,1:29.949,51
31,6,11,1:30.034,51
31,109,9,1:30.872,46
31,110,8,1:31.013,50
31,56,8,1:31.509,50
31,102,11,1:32.464,17
31,87,10,1:33.425,5
31,67,10,1:34.350,4
32,94,3,1:16.645,61
32,60,1,1:16.794,63
32,57,2,1:17.485,60
32,104,3,1:17.495,56
32,102,11,1:17.507,62
32,88,9,1:17.708,61
32,6,11,1:17.746,55
32,103,12,1:17.831,61
32,93,4,1:17.841,63
32,109,9,1:17.850,63
32,83,2,1:18.272,54
32,67,10,1:18.811,64
32,87,10,1:19.062,63
32,110,8,1:19.300,60
32,56,8,1:19.563,60
32,106,1,1:27.697,17
32,70,5,1:29.576,18
32,108,4,1:31.081,16
32,79,5,1:32.654,10
33,94,3,1:17.103,69
33,57,2,1:18.528,60
33,83,2,1:19.331,59
33,60,1,1:19.786,65
33,106,1,1:20.493,49
33,103,12,1:20.603,52
33,109,9,1:20.621,65
33,79,5,1:20.839,49
33,6,11,1:20.880,65
33,93,4,1:21.002,66
33,87,10,1:21.008,67
33,104,3,1:21.045,65
33,108,4,1:21.188,65
33,70,5,1:21.650,59
33,75,12,1:21.734,47
33,88,9,1:21.932,55
33,110,8,1:22.386,66
33,67,10,1:22.809,46
33,102,11,1:23.134,64
33,56,8,1:23.436,42
34,60,1,1:46.409,36
34,83,2,1:46.465,27
34,57,2,1:46.580,24
34,106,1,1:46.664,23
34,109,3,1:47.507,41
34,102,11,1:47.560,31
34,88,9,1:48.143,26
34,108,4,1:48.321,21
34,70,5,1:48.349,34
34,103,12,1:48.357,34
34,87,10,1:48.677,33
34,6,11,1:48.753,37
34,75,12,1:48.781,29
34,110,8,1:48.860,34
34,56,8,1:49.220,33
34,67,10,1:49.274,18
34,104,9,1:49.700,21
34,79,5,1:50.451,21
35,57,2,1:21.779,51
35,60,1,1:22.799,50
35,83,2,1:22.859,47
35,106,1,1:23.009,47
35,94,3,1:23.143,41
35,109,3,1:23.364,45
35,79,5,1:23.466,53
35,70,5,1:23.641,53
35,75,12,1:23.770,35
35,104,9,1:23.885,51
35,108,4,1:24.044,52
35,103,12,1:24.165,31
35,6,11,1:24.419,52
35,87,10,1:24.443,38
35,102,11,1:24.503,44
35,110,8,1:24.842,51
35,67,10,1:24.985,31
35,56,8,1:24.989,47
35,93,4,1:25.637,10
35,88,9,1:25.772,19
36,87,10,1:42.301,58
36,83,2,1:43.534,58
36,88,9,1:44.371,57
36,106,1,1:44.723,59
36,60,1,1:44.802,57
36,103,12,1:44.896,57
36,57,2,1:44.914,58
36,94,3,1:45.176,56
36,109,3,1:45.260,59
36,102,11,1:45.630,59
36,108,4,1:45.716,58
36,70,5,1:45.765,59
36,104,9,1:45.769,58
36,79,5,1:45.915,55
36,93,4,1:45.969,41
36,67,10,1:46.274,54
36,75,12,1:46.683,15
36,56,8,1:46.793,59
36,6,11,1:47.062,18
36,110,8,1:48.285,29
37,57,2,1:35.761,51
37,106,1,1:36.193,52
37,83,2,1:36.316,50
37,109,3,1:36.762,50
37,94,3,1:36.937,47
37,93,4,1:38.020,53
37,75,12,1:38.043,49
37,87,10,1:38.130,53
37,88,9,1:38.228,52
37,60,1,1:38.245,16
37,108,4,1:38.301,52
37,70,5,1:38.519,53
37,6,11,1:38.589,51
37,104,9,1:38.606,51
37,103,12,1:38.611,53
37,102,11,1:38.696,51
37,79,5,1:41.284,22
37,110,8,1:41.705,18
37,56,8,1:42.327,24
38,57,2,1:30.983,45
38,106,1,1:31.611,48
38,87,10,1:31.732,49
38,83,2,1:31.862,49
38,60,1,1:32.122,38
38,102,11,1:32.369,51
38,75,12,1:32.621,46
38,109,3,1:32.775,36
38,6,11,1:33.190,50
38,88,9,1:33.239,47
38,79,5,1:33.481,48
38,93,4,1:33.563,46
38,108,4,1:34.116,31
38,103,12,1:34.713,26
38,70,5,1:34.921,47
38,67,10,1:34.988,18
38,104,9,1:35.321,43
38,110,8,1:35.458,27
38,56,8,1:36.332,44
38,94,3,1:37.249,10
39,106,1,1:19.232,53
39,109,3,1:19.325,48
39,60,1,1:19.381,68
39,57,2,1:19.461,66
39,83,2,1:19.494,66
39,104,9,1:19.530,53
39,88,9,1:19.905,48
39,6,11,1:20.082,55
39,79,5,1:20.146,53
39,93,4,1:20.311,66
39,94,3,1:20.406,65
39,75,12,1:20.485,70
39,56,8,1:20.696,63
39,70,5,1:20.791,59
39,103,12,1:20.922,68
39,102,11,1:21.014,65
39,110,8,1:21.286,69
39,67,10,1:21.581,68
39,108,4,1:21.643,46
39,87,10,1:21.682,53
40,106,1,1:36.169,44
40,83,2,1:36.957,37
40,109,3,1:38.029,42
40,108,4,1:38.074,44
40,94,3,1:38.214,42
40,70,5,1:38.437,47
40,57,2,1:38.446,26
40,88,9,1:38.969,41
40,6,11,1:39.608,46
40,102,11,1:39.964,41
40,75,12,1:40.165,34
40,87,10,1:40.347,42
40,103,12,1:40.380,42
40,79,5,1:40.564,28
40,93,4,1:40.844,44
40,104,9,1:40.850,31
40,110,8,1:41.239,54
40,67,10,1:41.270,52
40,60,1,1:42.165,6
40,56,8,1:43.830,22
41,83,2,1:10.698,43
41,94,3,1:10.862,61
41,57,2,1:11.082,46
41,109,3,1:11.087,52
41,60,1,1:11.384,51
41,106,1,1:11.423,63
41,108,4,1:12.328,63
41,88,9,1:12.385,49
41,104,9,1:12.425,65
41,103,12,1:12.603,65
41,79,5,1:12.733,44
41,75,12,1:12.840,64
41,70,5,1:12.934,64
41,102,11,1:13.020,49
41,6,11,1:13.135,65
41,93,4,1:13.158,63
41,87,10,1:13.262,65
41,67,10,1:13.619,29
41,110,8,1:13.752,57
41,56,8,1:14.553,63
42,57,2,1:39.283,53
42,83,2,1:39.715,31
42,60,1,1:40.128,55
42,106,1,1:40.442,44
42,94,3,1:41.119,55
42,79,5,1:41.190,51
42,93,4,1:41.294,43
42,109,3,1:42.219,49
42,88,9,1:42.222,42
42,104,9,1:42.414,53
42,75,12,1:42.639,39
42,108,4,1:43.026,50
42,110,8,1:43.074,50
42,6,11,1:43.142,25
42,102,11,1:43.256,28
42,70,5,1:43.274,52
42,103,12,1:43.326,25
42,67,10,1:43.666,33
42,87,10,1:43.790,22
42,56,8,1:44.500,51
43,108,4,1:07.475,71
43,83,2,1:07.657,68
43,57,2,1:07.712,67
43,106,1,1:07.901,64
43,93,4,1:07.974,63
43,75,12,1:08.305,63
43,109,3,1:08.432,50
43,60,1,1:08.623,71
43,102,11,1:08.796,70
43,101,5,1:08.932,64
43,104,13,1:09.025,64
